nohup: ignoring input
03:58:21 │ INFO     │ Loaded XGBoost degradation model
03:58:21 │ INFO     │ Circuits: ['albert_park', 'bahrain', 'baku', 'barcelona', 'cota', 'hungaroring', 'imola', 'interlagos', 'jeddah', 'las_vegas', 'lusail', 'mexico', 'miami', 'monaco', 'montreal', 'monza', 'shanghai', 'silverstone', 'singapore', 'spa', 'spielberg', 'suzuka', 'yas_marina', 'zandvoort']
03:58:21 │ INFO     │ Drivers: 20
03:58:21 │ INFO     │ Sims per combo: 50
03:58:21 │ INFO     │ Total combos: 9600
03:58:21 │ INFO     │ ============================================================
04:45:55 │ INFO     │   PRECOMPUTING: Spanish Grand Prix
04:45:55 │ INFO     │   20 drivers × 20 positions = 400 combos
04:45:55 │ INFO     │ ============================================================
04:46:50 │ INFO     │   20/400 (5%) — 56s elapsed, ~1060s remaining
04:47:46 │ INFO     │   40/400 (10%) — 111s elapsed, ~1003s remaining
04:48:42 │ INFO     │   60/400 (15%) — 167s elapsed, ~947s remaining
04:49:38 │ INFO     │   80/400 (20%) — 223s elapsed, ~892s remaining
04:50:33 │ INFO     │   100/400 (25%) — 278s elapsed, ~835s remaining
04:51:28 │ INFO     │   120/400 (30%) — 334s elapsed, ~778s remaining
04:52:24 │ INFO     │   140/400 (35%) — 389s elapsed, ~723s remaining
04:53:19 │ INFO     │   160/400 (40%) — 445s elapsed, ~667s remaining
04:54:14 │ INFO     │   180/400 (45%) — 499s elapsed, ~610s remaining
04:55:08 │ INFO     │   200/400 (50%) — 554s elapsed, ~554s remaining
04:56:03 │ INFO     │   220/400 (55%) — 609s elapsed, ~498s remaining
04:56:58 │ INFO     │   240/400 (60%) — 663s elapsed, ~442s remaining
04:57:54 │ INFO     │   260/400 (65%) — 719s elapsed, ~387s remaining
04:58:49 │ INFO     │   280/400 (70%) — 774s elapsed, ~332s remaining
04:59:44 │ INFO     │   300/400 (75%) — 829s elapsed, ~276s remaining
05:00:39 │ INFO     │   320/400 (80%) — 884s elapsed, ~221s remaining
05:01:34 │ INFO     │   340/400 (85%) — 939s elapsed, ~166s remaining
05:02:29 │ INFO     │   360/400 (90%) — 994s elapsed, ~110s remaining
05:03:24 │ INFO     │   380/400 (95%) — 1049s elapsed, ~55s remaining
05:04:20 │ INFO     │   400/400 (100%) — 1105s elapsed, ~0s remaining
05:04:20 │ INFO     │   ✓ Spanish Grand Prix: 400 combos in 1105s
05:04:20 │ INFO     │   Saved: results/scenarios/scenarios_barcelona.json
05:04:20 │ INFO     │ ============================================================
05:04:20 │ INFO     │   PRECOMPUTING: United States Grand Prix
05:04:20 │ INFO     │   20 drivers × 20 positions = 400 combos
05:04:20 │ INFO     │ ============================================================
05:05:07 │ INFO     │   20/400 (5%) — 47s elapsed, ~890s remaining
05:05:54 │ INFO     │   40/400 (10%) — 94s elapsed, ~845s remaining
05:06:40 │ INFO     │   60/400 (15%) — 140s elapsed, ~794s remaining
05:07:26 │ INFO     │   80/400 (20%) — 186s elapsed, ~744s remaining
05:08:11 │ INFO     │   100/400 (25%) — 232s elapsed, ~695s remaining
05:08:57 │ INFO     │   120/400 (30%) — 278s elapsed, ~648s remaining
05:09:43 │ INFO     │   140/400 (35%) — 323s elapsed, ~600s remaining
05:10:29 │ INFO     │   160/400 (40%) — 369s elapsed, ~554s remaining
05:11:16 │ INFO     │   180/400 (45%) — 416s elapsed, ~509s remaining
05:12:02 │ INFO     │   200/400 (50%) — 462s elapsed, ~462s remaining
05:12:49 │ INFO     │   220/400 (55%) — 510s elapsed, ~417s remaining
05:13:36 │ INFO     │   240/400 (60%) — 557s elapsed, ~371s remaining
05:14:23 │ INFO     │   260/400 (65%) — 603s elapsed, ~325s remaining
05:15:10 │ INFO     │   280/400 (70%) — 650s elapsed, ~279s remaining
05:15:56 │ INFO     │   300/400 (75%) — 696s elapsed, ~232s remaining
05:16:42 │ INFO     │   320/400 (80%) — 742s elapsed, ~186s remaining
05:17:29 │ INFO     │   340/400 (85%) — 789s elapsed, ~139s remaining
05:18:15 │ INFO     │   360/400 (90%) — 835s elapsed, ~93s remaining
